93, ,BTE255,BIO,TBA,3.0,02,Th(11:00 AM-12:20 PM-UB21002) Th(12:30 PM-01:50 PM-UB21002),10,10,0
94, ,BTE258,BIO,TBA,3.0,01,Mo(11:00 AM-12:20 PM-UB21002) Mo(12:30 PM-01:50 PM-UB21002),10,10,0
95, ,BTE258,BIO,TBA,3.0,02,Tu(11:00 AM-12:20 PM-UB21002) Tu(12:30 PM-01:50 PM-UB21002),10,10,0
96, ,BTE258,BIO,TBA,3.0,03,We(02:00 PM-03:20 PM-UB21006) We(03:30 PM-04:50 PM-UB21006),10,10,0
97, ,BTE302,BIO,TBA,3.0,01,Sa(02:00 PM-03:20 PM-UB10204) Th(02:00 PM-03:20 PM-UB10204),40,15,25
98, ,BTE303,BIO,TBA,3.0,01,Mo(09:30 AM-10:50 AM-UB10203) We(09:30 AM-10:50 AM-UB10203),40,40,0
99, ,BTE304,BIO,TBA,3.0,01,Su(03:30 PM-04:50 PM-UB10203) Tu(03:30 PM-04:50 PM-UB10203),40,40,0
100, ,BTE306,BIO,TBA,3.0,01,Sa(12:30 PM-01:50 PM-UB10204) Th(12:30 PM-01:50 PM-UB10204),40,40,0
101, ,BTE307,BIO,TBA,3.0,01,Mo(05:00 PM-06:20 PM-UB10204) We(05:00 PM-06:20 PM-UB10204),40,40,0
102, ,BTE308,BIO,TBA,3.0,01,Su(09:30 AM-10:50 AM-UB10203) Tu(09:30 AM-10:50 AM-UB10203),40,40,0
103, ,BTE310,BIO,TBA,3.0,01,Su(02:00 PM-03:20 PM-UB10204) Tu(02:00 PM-03:20 PM-UB10204),40,37,3
104, ,BTE317,BIO,TBA,3.0,01,Mo(03:30 PM-04:50 PM-UB10103) We(03:30 PM-04:50 PM-UB10103),30,30,0
105, ,BTE355,BIO,TBA,3.0,01,Tu(02:00 PM-03:20 PM-UB21002) Tu(03:30 PM-04:50 PM-UB21002),10,10,0
106, ,BTE355,BIO,TBA,3.0,02,Su(02:00 PM-03:20 PM-UB21006) Su(03:30 PM-04:50 PM-UB21006),10,10,0
107, ,BTE355,BIO,TBA,3.0,03,Th(02:00 PM-03:20 PM-UB21002) Th(03:30 PM-04:50 PM-UB21002),10,10,0
108, ,BTE400,BIO,TBA,3.0,01,Fr(08:00 AM-09:20 AM-UB21511),40,13,27
109, ,BTE401,BIO,TBA,3.0,01,Su(09:30 AM-10:50 AM-UB21901) Tu(09:30 AM-10:50 AM-UB21901),20,4,16
110, ,BTE401,BIO,TBA,3.0,02,Mo(12:30 PM-01:50 PM-UB21901) We(12:30 PM-01:50 PM-UB21901),20,10,10
111, ,BTE402,BIO,TBA,3.0,01,Su(02:00 PM-03:20 PM-UB10203) Tu(02:00 PM-03:20 PM-UB10203),40,37,3
112, ,BTE403,BIO,TBA,3.0,01,Mo(02:00 PM-03:20 PM-UB10203) We(02:00 PM-03:20 PM-UB10203),40,41,-1
113, ,BTE404,BIO,TBA,3.0,01,Mo(08:00 AM-09:20 AM-UB10204) We(08:00 AM-09:20 AM-UB10204),40,41,-1
114, ,BTE406,BIO,TBA,3.0,01,Sa(03:30 PM-04:50 PM-UB10204) Th(03:30 PM-04:50 PM-UB10204),40,34,6
115, ,BTE411,BIO,TBA,3.0,01,Mo(11:00 AM-12:20 PM-UB10203) We(11:00 AM-12:20 PM-UB10203),40,14,26
116, ,BTE450,BIO,TBA,4.0,01,Fr(09:30 AM-10:50 AM-UB21511),40,8,32
117, ,BUS101,BBA,AAC,3.0,01,Mo(09:30 AM-10:50 AM-UB20203) We(09:30 AM-10:50 AM-UB20203),35,35,0
118, ,BUS101,BBA,TBA,3.0,02,Mo(09:30 AM-10:50 AM-UB20103) We(09:30 AM-10:50 AM-UB20103),35,33,2
119, ,BUS101,BBA,TBA,3.0,03,Mo(08:00 AM-09:20 AM-UB20103) We(08:00 AM-09:20 AM-UB20103),35,6,29
120, ,BUS101,BBA,NHF,3.0,04,Mo(02:00 PM-03:20 PM-UB20201) We(02:00 PM-03:20 PM-UB20201),35,18,17
121, ,BUS101,BBA,NHF,3.0,05,Mo(03:30 PM-04:50 PM-UB20201) We(03:30 PM-04:50 PM-UB20201),35,7,28
122, ,BUS102,BBA,TAK,3.0,01,Mo(12:30 PM-01:50 PM-UB20104) We(12:30 PM-01:50 PM-UB20104),35,0,35
